Bestellnr,Autor/ Herausgeber,Titel,Verlag,Einband,Format,Gewicht in g,Auflage,Jahr,,Ort,Zustand (1-4),Sprachennr.,Sprache,ISBN,EAN,Seitenzahl/Umfang,Ihr Preis in �,zvab-Preis,Zustand-zvab,Illustrator,�bersetzer,Vor- oder Nachwort,Nachwort,weitere Mitwirkende,Untertitel,Originaltitel,aus der Reihe,Band,Schlagworte,Beschreibung,Zustandsbeschreibung,Lieferungsnr,Lieferant,Einkaufspreis in �,Aufgenommen am:,Menge,3860400644,Zustand-amazon,Standort,Kommission,Sparten-Nr.,Spartenbezeichnung,Einkaufsdatum,MwSt.,ebay,Notizen,Bild,alte Bestellnummer,ASIN,versandkennziffer,H�he,Breite,Tiefe,Suche,ebay-ID,Titel-Autor-anzahl
995754,,,,,,,,,0,,,9,Russisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
995755,,,,,,,,,0,,,8,Rum�nisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
999999,,,,,,,,,0,,,7,Ungarisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
sechsstellige belegte Bestellnummern,,,,,,,,,0,,,6,Japanisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
,,,,,,,,,0,,,5,Slowakisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
,,,,,,,,,0,,,4,Tschechisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
,,,,,,,,,0,,,3,Franz�sisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
,,,,,,,,,0,,,2,Englisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
73431,"Balzac, Honore de",Die menschliche Kom�die B�nde 1-22 (komplett),Aufbau,Leinen (Hardcover),17 x 11 x 52 cm - Klein-Oktav,5000,,1961-1988,,Berlin und Weimar,3,1,Fehler:504,3351006055,,"566, 654, 625, 544, 465, 504, 460, 669, 814, 708, 477, 618, 580, 587, 430, 456, 500, 811, 543, 422, 476, 524",,"90,00","7,6",,,,,Fritz-Georg Voigt (Herausgeber),1: Eine Evastochter - Novellen + 2: Die Frau von drei�ig Jahren - Roman - Modeste Mignon - Roman + 3: Beatrix - Roman - Frauenstudien - Die verlassene Frau - Novellen + 4: Vater Goriot - Roman - Gobseck - Oberst Chabert - Novellen + 5: Der Ehevertrag - Novellen + 6: Eugenie Grandet - Roman - Die Muse der Provinz - Roman + 7: Die alte Jungfer - Roman - Das Antiquit�tenkabinett - Roman - Der ber�hmte Gaudissart - Novelle + 8: Junggesellenwirtschaft - Roman - Pierrette - Der Pfarrer von Tours - Novellen + 9: Verlorene Illusionen - Roman + 10: Glanz und Elend der Kurtisanen - Roman + 11: Die Geschichte der Dreizehn + 12: Cesar Birotteau - Roman - Das Bankhaus Nucingen - Die Geheimnisse der F�rstin von Cadignan - Gaudissart der Zweite - Novellen + 13: Die Beamten - Roman - Pariser Novellen + 14: Tante Lisbeth - Roman + 15: Vetter Pons - Roman + 16: Die Chouans oder Die Bretagne im Jahre 1799 - Roman + 17: Eine dunkle Geschichte - Roman - Der Deputierte von Arcis - Roman - Z. Marcas - Novelle + 18: Die Bauern - Roman - Der Landarzt - Roman + 19: Das Chagrinleder - Roman - Das Lebenselixier - Die Rote Herberge - Maitre Cornelius - Novellen + 20: Die Suche nach dem Absoluten - Roman - Das unbekannte Meisterwerk - Der vers�hnte Melmoth - Ein Drama am Ufer des Meeres - Novellen + 21: Erinnerungen zweier junger Ehefrauen - Albert Savarus - Szenen aus dem Privatleben + 22: Honorique - Die falsche M�tresse - Madame Firmiani - Die Botschaft - La Grenadiere - Ein Lebensbeginn - Szenen aus dem Privatleben,,,,,"teilweise auf D�nndruckpapier, komplett, mehr B�nde sind trotz Ank�ndigung in dieser Ausgabe nicht erschienen","leicht bis deutlich berieben und besto�en mit Randl�suren, leicht bis deutlich nachgedunkelt, ",2905,Fehler:504,Fehler:504,,2,,,400+187,,795,Fehler:504,,7,,,Klein-Oktav,,,1,17,11,52,,,
73805,"Fassmann, Kurt (Herausgeber)",Die Grossen (24 B�nde) + Einf�hrungsband,Coron,Seideneinband (Hardcover) mit Golddruck in Schutzumschlag (Klarsichtfolie) und Kopfgoldschnitt,"27 x 18,5 x 110 cm - Quart",47000,,1995 �,,Stuttgart Z�rich Wien,2,1,Fehler:504,,,ca. 920 pro Band,,"100,00","15,2",,,,,"Max Bill, Hoimar von Ditfurth, Hanno Helbling, Walter Jens, Robert Jungk, Euigen Kogon",Leben und Leistung der 600 bedeutendsten Pers�nlichkeiten unserer Welt - Menschen und Ereignisse unserer Welt,,,,,Diese Ausgabe erscheint exklusiv f�r Freunde des Hauses Coron. Sie ist �ber den einschl�gigen Fachhandel nicht lieferbar. Gestaltet in Zusammenarbeit mit dem Kindler Verlag,"leicht berieben und besto�en, wenige Klarsichtumschl�ge mit kleinen Einrissen oder Fehlstellen, im Innern quasi neuwertig, ",0,Fehler:504,Fehler:504,,1,,,,,548,Fehler:504,,7,,,Quart,,,2,27,"18,5",110,,,
18987,Staatliche Kunsthalle Berlin (Herausgeber),Kurt M�hlenhaupt,Staatliche Kunsthalle,Pappband (Hardcover) foliert,"30 x 21,5 x 2,5 cm - Quart",1540,Vorzugsausgabe,1981,,Berlin (West),2,1,Fehler:504,,,349,,"12,30","7,6",Kurt M�hlenhaupt,,,,,Vom 11. Januar bis 8. Februar 1981,,,,,"mit einigen Beitr�gen �ber M�hlenhaupt, einem Werkverzeichnis der Druckgraphik sowie einer Bibliographie, mit einem Stempel 'Aus dem Nachlass von Kurt M�hlenhaupt' und einer Bleistiftunterschrift von Hannelore M�hlenhaupt auf der R�ckseite des Schmutztitels, mit farbigen Illustrationen, ","Einband minimal berieben, sonst sehr guter Zustand, neuwertig, ",296,Fehler:504,Fehler:504,31.03.10,2,,,366+400,,840,Fehler:504,,7,,,Quart,,,1,30,"21,5","2,5",,,
75230,"Leitner, Maria",Eine Frau reist durch die Welt,Dietz,Broschur (Paperback),,200,1. Auflage,1962,,Berlin (DDR),3,1,,,,227,6,,,,,,,,,,rdr Rote Dietz-Reihe,33,,,"deutlich berieben und besto�en mit Randl�suren, deutlich nachgedunkelt, ",1632,,,17.12.14,2,,,lp074,,8,,,7,,,,,,0,18,11,2,,,
85622,"Dostojewski, Fjodor Michailowitsch (Dostojewskij, Dostojevski)",Der Idiot - Ein Roman in vier Teilen,Aufbau,Leinen (Hardcover) mit Schutzumschlag,,640,,1958,,Berlin (DDR),3,1,,,,853,4,,,,aus dem Russischen von H. R�hl,,Wolf D�wel,,,,,,,,"deutlich berieben und besto�en mit Randl�suren, deutlich nachgedunkelt, ",0,Fehler:504,Fehler:504,13.01.18,4,,,400+153,,795,Fehler:504,,7,,,Oktav,,,1,20,13,5,,,
86646,"M�ller, Heiner",St�cke - Texte �ber Deutschland (1957-1979),Philipp Reclam jun.,Broschur (Paperback),,170,1. Auflage,1989,,Leipzig,3,1,,3379002798,,321,9,,,,,,,Frank H�rnigk (Herausgeber),,,Reclams Universal-Bibliothek,1263,,,"leicht berieben und besto�en mit kleinen Randl�suren, deutlich nachgedunkelt, ",197,,,09.08.19,1,,,78,,1035,,,7,,,,,,0,18,11,1,,,
98745,,(Sammlung) Werner Klemke illustrierte B�cher und Schutzumschl�ge - (34 B�nde),R�tten & Loening + Eulenspiegel + Greifenverlag + Neues Leben + Aufbau + Henschelverlag + Volk und Welt + Volk und Wissen + Verlag f�r die Frau + Verlag der Nation,"Leinen (Hardcover) mit Schutzumschlag, 2 x ohne Umschlag, 5x Pappeinb�nde, 1x Broschur",24 x 17 x 50 cm - Gro�-Oktav,8100,Mischauflage,1952-1987,,"Berlin (DDR), Rudolstadt",3,1,Fehler:504,,,ca. 6000,40,,"47,6",Werner Klemke,,,,,,,,,,"Folgende B�nde enthalten: Robert Louis Stevenson: Entf�hrt Die Abenteuer des David Balfour + Liebe Geschichten von Boccaccio bis B�ll + Tobias Smollett: Die Abenteuer Roderich Randoms + Arnold Zweig: Pont und Anna K�nstlergeschichten 14 + Fred Rodrian: Die hellgr�ne T�r + Pierre Gamarra: Der M�rder erhielt den Prix Goncourt + Karl Kraus: Anderthalb Wahrheiten Aphorismen + Wilhelm Busch: Kurzes Referat �ber die kurzen W�rste des Herrn Lang + Echte und falsche Moritaten + Adolf Glassbrenner: Amor als Ochse + Montesquieu: Wahrhaftige Geschichte + Die L�gentruhe Geschichten, Schw�nke, M�rchen, Gedichte + Rudi Strahl: Aufs Happy-End ist kein Verla� + Anatole France: Die Rosenholzm�bel + Hans Jakob Christoffel von Grimmelshausen: Das wunderbarliche Vogelnest + F. C. Weiskopf: Das Anekdotenbuch + Andre M�ller: Halten Sie den Kopf hin! Marx-Anekdoten + Hermann Werner Kubsch: Legende von den sieben Legenden Eine Liebesgeschichte + E.T.A. Hoffmann: Klein Zaches genannt Zinnober Ein M�rchen + Tibor Dery: Die Antwort der Kinheit + Die Antwort der Jugendzeit F.C. Weiskopf: Inmitten des Stroms + Renate Holland-Moritz: Das Duchgangszimmer + John Braine: Der Weg nach oben + Frank Wedekind: Ich hab meine Tante geschlachtet + Petronius: Satiricon + Miguel de Cervantes Saavedra: Die Novellen + Die Verlobung Deutsche Liebesgeschichten aus sechs Jahrzehnten + Abenteuer aus aller Welt - Eine Auswahl klassischer Abenteuererz�hlungen Band 2 + Anne Braun und Edith Nell: Man mu� sich nur zu helfen wissen - Kleine Haushaltsfibel f�r Kinder + Musik Lehrbuch f�r Klasse 4 + F.C. Weiskopf: Vor einem neuen Tag + Fritz B�ttcher: Die blaue Blume + Das Wunderbare - M�rchennovelle + Novellen der deutschen Romantik - ACHTUNG, im Moment nicht alle B�nde auf dem Foto, Kein Einzelbandverkauf �ber die Internetmarktpl�tze.","leicht bis deutlich berieben und besto�en mit Randl�suren, leicht bis deutlich nachgedunkelt, Namenseintr�ge m�glich, ",0,Fehler:504,Fehler:504,22.07.15,1,,,520,,838,Fehler:504,,7,,,Gro�-Oktav,,,1,24,17,50,,,
10908,"Wegner, Gerhard (Herausgeber)",Von Arbeit bis Zivilgesellschaft : zur Wirkungsgeschichte der Reformation,Evangelische Verlagsanstalt,Original-Pappband (Hardcover) mit Schutzumschlag,25 x 18 x 3 cm - Gro�-Oktav,1100,(1. Auflage),2017,,Leipzig,2,1,Fehler:504,,9783374048656,394,,"20,00","7,6",,,,,im Auftrag des Sozialwissenschaftlichen Instituts der EKD (Herausgeber),,,,,"Luther, Martin ; Reformation ; Rezeption ; Wirtschaft ; Gesellschaft ; Politik ; Evangelische Soziallehre ; Geschichte ; Theologie, Christentum ;  Sozialwissenschaften, Soziologie, Anthropologie","mit meist farbigen Illustrationen, In diesem auch �sthetisch sch�nem Buch erl�utern prominente Zeitgenossen zentrale politische, wirtschaftliche und soziale Themen von der Reformation 1517 bis heute. Dazu z�hlen beispielsweise Arbeit, Beruf, Gleichheit, Gerechtigkeit, Ehe, Familie, Kapitalismus, Liberalismus, Sozialismus, Genossenschaften, Wirtschaftsethik, Nachhaltigkeit, Reformation, Revolution, Soziale Marktwirtschaft, Religion, F�r-Sorge, Rechtfertigung, Geld, Liebe und Zivilgesellschaft. Auf diese Weise entsteht eine farbige Kulturgeschichte, die zeigt, welche Wirkungen die Reformation bis heute hat. Zu den Autoren z�hlen u. a. Nikolaus Schneider, Margot K��mann, Heinrich Bedford-Strohm, Michael H�ther, Jutta Allmendinger, Christoph Deutschmann, Hans-J�rgen Papier, Christoph Dieckmann und Gustav Horn. Stets wird gefragt, was Luther einst gemeint hatte - um dann zu verfolgen, was aus den urspr�nglichen Intentionen geworden ist. Ein spannendes Kompendium der aktuellen Wirkungen der Reformation! Alter (Andreas Kruse), Beruf (Gerhard Wegner), Bildung (Allmendinger/Schulz), Diakonie (J. Eurich), Ehe (F.-W. Lindemann), Familie (C. Coenen-Marx, Freiheit (H. Bedford-Strohm), F�r-Sorgen (Eva Senghaas-K.), Geld (G. Horn)
, Genossenschaften (M. Klein), Gerechtigkeit (U. Lilie/I. H�bner), Gleichheit (N.- Schneider), Kapitalismus (C. Deutschmann), Liberalismus (M. H�ther), Liebe (G. Wegner), Nachhaltigkeit (J�rg H�bner), Rechtsstaatliche Demokratie (H.-J. Papier), Reformation (G. Schendel), Religion (M. K��mann), Revolution (H.-J. Goertz), Soziale Marktwirtschaft (T. J�hnichen), Sozialismus (F. Dieckmann), Sozialstaat (H.-R. Reuter), Technik (R. Charbonnier)), Wirtschaftsethik (J. Wieland), ","leichte Lagerspuren,",3025,Fehler:504,Fehler:504,06.03.20,1,,,214,,773,Fehler:504,,7,,,Gro�-Oktav,,,1,25,18,3,,,
77694,"Meinecke, Thomas",Tomboy - Roman,Suhrkamp,Pappband (Hardcover) mit Schutzumschlag,21 x 13 x 2 cm - Oktav,339,3. Auflage,1999,,Frankfurt am Main,2,1,Fehler:504,3518409956,,250,,"3,90","3,5",,,,,,,,,,,,"leicht berieben und besto�en mit kleinen Randl�suren, ",2224,Fehler:504,Fehler:504,21.11.16,2,,,400+163,,8,Fehler:504,,7,,,Oktav,,,0,21,13,2,,,
71145,"Majakowski, Wladimir",Ausgew�hlte Werke I-V (vollst�ndig),Volk und Welt,Leinen (Hardcover),21 x 14 x 17 cm - Oktav,3400,Mischauflagen,1968-1973,,Berlin (DDR),3,1,Fehler:504,,,"LIV+455, 496, 429, 508, 592",,"10,00","7,6",,�bertragen von Hugo Huppert,,,Leonard Kossuth (Herausgeber),"I: Gedichte - II: Poeme - III: St�cke - B�hnenwerke und Filmszenarien - IV: Prosa - Autobiographie, Reiseskizzen, Briefe - V: Publizistik - Aufs�tze und Reden",,,,,"mit einem Nachwort, Anmerkungen, einer Bibliographie des Herausgebers und 47 Abbildungen","deutlich berieben und besto�en mit Randl�suren, leicht bis deutlich nachgedunkelt, Einb�nde teils deutlich fleckig, 2 ehemaliges Bibliotheksbuch mit entsprechenden Eintragungen, Stempeln oder Einklebungen, mit einem Stempel eines Vorbesitzers, mit Namenseintragung eines Vorbesitzers, ",0,Fehler:504,Fehler:504,21.08.19,2,,,453,,1897,Fehler:504,,7,,,Oktav,,,1,21,14,17,,,
12706,"Ehmann, Sven und Robert Klanten (Herausgeber)",velo 3rd Gear - Bicycle Culture and Stories,Gestalten,illustrierter Pappband (Hardcover),,1700,,2016,,Berlin,1,2,,,9783899556520,254+(2),20,Inhaltsverzeichnis unter http://d-nb.info/1078786127/04,,,,Shonquis Moreno,,Rebecca Silus and Shonquis Moreno,,,,,Fahrrad ; Design ; Bildband ,"in englischer Sprache, mit zahlreichen Farbfotos, stellt eine Vielfalt an Fahrr�dern vor, die man sich vorher garnicht vorstellen konnte","neuwertig, minimale Lagerspuren, da verlagsfrisches Restexemplar, nur zum Zweck der Titelaufnahme aus der Folie entnommen",3170,,,31.05.22,4,,,623+103,,578,,,7,,,,,,1,29,25,3,,,
77913,"Verne, Jules",Reise um die Erde in 80 Tagen,B�chergilde Gutenberg,Leinen (Hardcover) mit Schutzumschlag,,700,1. Auflage,2004,,Frankfurt am Main,2,1,,3763254846,,309,8,,,Scherenschnitte von Sarah Schiffer,,,,,,,,,ILLUSTRIERTE B�CHER,"mit Leseb�ndchen,  ","leicht berieben und besto�en, ",2313,,,21.04.16,3,,,400+534,,795,,,7,,,,,,0,22,14,3,,,
92715,"Dickens, Charles",Die Sylvester-Glocken. Eine Geistergeschichte,Norddeutsches Verlags-Institut J. Jolowicz,Halbleder (Hardcover) mit Lederfileten,,300,,ohne Jahresangabe (ca. 1890),,Berlin,3,1,,,,205,11,,,,,,,,,,,,,"Frakturschrift,  ","deutlich berieben und besto�en mit Randl�suren, Exlibris im Vorsatz, Klammerheftung, leicht nachgedunkelt, ",1015,,,30.07.12,1,,,117,,8,,,7,,,,,,0,18,13,2,,,
91038,"Dumas, Alexandre",Die K�nigin Margot - Roman,Aufbau,Leinen (Hardcover) mit Schutzumschlag,,650,4. Auflage,1964,,Berlin (DDR),2,1,,,,693,5,,,Max Lingner,aus dem Franz�sischen von Christine Hoeppener,,,,,La Reine Margot,,,,,"deutlich berieben und besto�en mit Randl�suren, deutlich nachgedunkelt, ",0,,,31.08.20,3,,,573+lp085,,8,Fehler:504,,7,,,,,,0,20,13,4,,,
61681,"Ruetz, Michael",Eye on infinity - Timescape 817,Steidl,Halbleinen (Hardcover),,2300,1. Auflage,2008,,G�ttingen,1,1,,,9783865217660,111,12,,,,,,,,Ausstellung Michael Ruetz: 'Eye in Infinity' vom 9. April bis 8. Mai ... Braunschweig,,,,"AUSSTELLUNGSKATALOG, BILDBAND","�berwiegend Fotografien, Text auch in englischer Sprache",minimale Lagerspuren,2534,,,24.03.17,3,,,526+lp015,,134,,,7,,,,,,,31,31,3,,,
18724,"Sostschenko, Michail",Das Himmelblaubuch,R�tten & Loening,Leinen (Hardcover) mit Schutzumschlag,,830,2. Auflage,1976,,Berlin (DDR),2,1,,,,444+(4),5,,,Otto Schack (Illustrationen und Einband) - Heinz Hellmis und Manfred Damaszynski (Typographie),aus dem Russischen von Thomas Reschke,,Fritz Mierau,,,,,,,,"leicht berieben und besto�en mit kleinen Randl�suren, ",0,,,13.04.23,2,,,415,,8,,,7,,,,,,,22,16,4,,,
22883,"Henscher, Ulla",Physiotherapie in der Gyn�kologie,Georg Thieme,illustrierte Broschur (Paperback),,600,"3., aktualisierte und erweiterte Auflage",2012,,"Stuttgart New York, NY",3,1,,,9783131294630,"VIII, 236",23,Inhaltsverzeichnis unter http://d-nb.info/1021545155/04,,,,,,hrsg. von Antje H�ter-Becker und Mechthild D�lken,"185 Abbildungen, 51 Tabellen",,Physiolehrbuch : Praxis,,"Gyn�kologie; Geburtshilfe ; Physikalische Therapie ; 610 Medizin, Gesundheit","VIII, 236 S. : Ill., graph. Darst. ; 24 cm ; Physiolehrbuch : Praxis ; DAS physiolehrbuch zur Gyn�kologie, Physiotherapeuten in der Ausbildung erhalten mit diesem Buch einen idealen Begleiter f�r die Vorbereitung auf die Pr�fung. Es beinhaltet das komplette Wissen zu praxisrelevanten Themen, das Physiotherapeuten im Bereich Gyn�kologie brauchen, um bestehen zu k�nnen. Das bew�hrte physiolehrbuch Praxis zur Gyn�kologie, - verschafft einen �berblick �ber Krankheiten und Symptome, - erm�glicht differenziertes Untersuchen und Behandeln und , - bietet praxisrelevante Fallbeispiele, anhand derer konkrete Therapiesituationen geprobt werden k�nnen. F�r die 3. Auflage wurden einige Kapitel �berarbeitet und mit aktuellen Inhalten erweitert, v.a. bei den Krankheitsbildern und der Krankheitslehre.","ehemaliges Bibliotheksexemplar mt den entsprechenden Markierungen, Stempeln, �berklebungen und/oder Einklebungen,  ",0,,,21.12.23,2,,,405,,653,,,7,,,,,,,24,17,2,,,
90476,"Ackermann, Ulrike (Herausgeberin)",Welche Freiheit. Pl�doyers f�r eine offene Gesellschaft.,Matthes & Seitz,Broschur (Paperback),,400,1. Auflage,2007,,Berlin  ,2,1,,,9783882218855,320 ,10,,,,,,,,,,debatte,5,,,"gekennzeichnetes M�ngelexemplar, leicht berieben und besto�en mit kleinen Randl�suren, ",805,,,08.11.23,7,,,lp010,,1220,,,7,,,,,,,20,13,3,,,
,"Lugs, Jaroslav",Handfeuerwaffen Band I+II (Text- und Bildband komplett),Milit�rverlag der Deutschen Demokratischen Republik (DDR),Leinen (Hardcover) mit Klarsichtumschl�gen im illustrierten Schuber,,3000,"5., durchgesehene Auflage",1977,,Berlin (DDR),3,1,,,,"785+(2), 454+(2)",15,,,,aus dem Tschechischen von Rudolf Winkler,,,Heinrich M�ller und Gerhard Thiele,Systematischer �berblick �ber die Handfeuerwaffen und ihre Geschichte,Rucni palne zbrane,,,,mit zahlreichen Abbildungen,"leicht berieben und besto�en mit kleinen Randl�suren, Umschlag einmal mit kleiner Fehlstelle, mit Namenseintragung eines/einer Vorbesitzers/in, Schuber deutlich berieben und besto�en mit Randl�suren und einer Kante mit Paketbandreparatur",2507,,,26.03.23,2,,,414,,854,,,7,,,,,,,26,18,9,,,
40133,"Tolkien, John Ronald Reuel",Der Herr der Ringe - Band 1: Die Gef�hrten +  2: Die zwei T�rme + 3: Die Wiederkehr des K�nigs (komplett),Klett-Cotta,Broschuren (Paperback) im Originalschuber,,1050,11. Auflage,2002,,Stuttgart,2,1,,3608935444,,526 + 441 + 380,12,,,,aus dem Englischen von Wolfgang Krege,,,,,,,,,"jeweils mit einer Karte,","leicht berieben und besto�en mit kleinen Randl�suren, Schuber mit kleinen Kantenabreibungen",3151,,,06.07.23,2,,,575+lp105,,795,,,7,,,,,,,20,13,8,,,
12496,"Storm, Theodor",Storms Werke in zwei B�nden (komplett),Aufbau,gr�nes Original-Leinen (Hardcover) mit Goldpr�gung,,800,13. Auflage,1988,,Berlin und Weimar,2,1,,,,"XXXV+403, 410",10,,,Horst Erich Wolter (Einband),,Peter Goldammer (Auswahl und Einleitung),,Nationale Forschungs- und Gedenkst�tten der klassischen deutsche Literatur in Weimar (Herausgeber),Erster und zweiter Band,,BDK Bibliothek deutscher Klassiker,,KLASSIKER - DEUTSCHLAND - 19.JH,"mit Leseb�ndchen, enth�lt: Band 1: Gedichte, Der kleine H�welmann, Die Regentrude, Immensee, Im Schlo�, Auf der Universit�t, Eine Malerarbeit, Viola tricolor; Pole Poppensp�ler + Band 2: Aquis submersus, Renate, Die S�hne des Senators, Hans und Heinz Kirch, Der Schimmelreiter","leicht berieben und besto�en, Band 1 mit unscheinbarem Fleck auf dem Einband",0,,,15.04.23,2,,,740+411,,795,,,7,,,,,,,19,13,5,,,
